time,difference
252,0.0533887474
252.5,0.0454154557
252.8,0.0789956085
253.3,0.1050109896
253.8,0.1253705082
254.2,0.0977123252
254.5,0.167640995
254.9,0.0969261212
255.2,0.1453785629
255.4,0.0729146447
255.8,0.1617662737
256.4,0.1356400835
256.9,0.1796073431
257.3,0.1824778096
257.8,0.1983037809
258.1,0.1614801725
258.7,0.1633842996
259,0.1689142599
259.6,0.1438369213
260,0.1158536971
260.3,0.139027144
260.9,0.1805356323
261.2,0.2032510772
261.5,0.1080164483
261.7,0.1751889631
262.3,0.1673547465
262.9,0.0846660645
263.3,0.1343447033
263.6,0.1211705274
263.9,0.1290050308
264.4,0.129634802
264.7,0.1384993007
265.3,0.1290049769
265.9,0.1162073021
266.3,0.1459855772
266.7,0.1371989864
266.9,0.0920549353
267.2,0.1288073697
267.9,0.098656966
268.3,0.1360664069
268.8,0.1267288222
269,0.110178963
269.2,0.1564458705
269.4,0.0648685345
269.6,0.0426767082
269.8,0.0857070147
269.9,0.1199252683
270,0.184065259
270.2,0.1820948779
270.3,0.2409899525
270.5,0.2202782153
270.7,0.2601857416
270.8,0.2801900028
270.9,0.3396815836
271.2,0.2450238911
271.3,0.1779204924
271.4,0.5678587487
271.6,0.5744695818
271.8,0.5147338586
271.9,0.5080130057
272.1,0.4965760528
272.2,0.5811056609
272.3,0.5052472183
272.5,0.4826450059
272.6,0.2366891782
272.7,0.3995326318
272.9,0.2303887119
273.2,0.2766706808
273.3,16.6554050909
273.4,1.3590983565
273.5,1.2668563058
273.6,22.7712121853
273.7,12.6001309478
273.8,19.3188651099
273.9,16.9136093441
274,23.0283217915
274.1,16.8691002175
274.2,8.6670899769
274.3,11.3820064309
274.4,6.3216338959
274.6,3.7068507918
274.7,17.0291459534
274.8,17.1222762999
274.9,17.1071107174
275,17.0133762991
275.3,13.4649694552
275.4,15.579394573
275.5,17.3988835167
275.7,20.1932404116
275.9,7.0606802132
276,5.9412006156
276.1,18.4209030107
276.2,11.011659563
276.3,1.393516265
276.4,19.0859011446
276.5,28.131915711
276.6,21.03631365
276.7,17.3361706018
276.8,19.9934673112
276.9,19.9031789899
277.1,17.1926367685
277.2,2.8196135835
277.3,20.3806346702
277.4,15.6705244875
277.5,13.9015768857
277.6,19.0050672757
277.7,16.3082466003
277.8,4.3296572718
277.9,24.0714162876
278,11.731524328
278.1,1.6282360484
278.2,3.0695455389
278.4,19.2922219417
278.6,12.3955365426
278.7,6.1470306274
278.8,22.4137456692
278.9,7.6998209836
279,22.5115025338
279.1,6.9973318232
279.2,20.2462570361
279.3,27.4836967036
279.4,21.84678686
279.5,15.4813969593
279.7,11.7823825271
279.8,19.4026339906
279.9,6.900920146
280,13.3978784667
280.2,21.7590547364
280.3,1.6118708809
280.4,25.8171142328
280.5,9.8488889015
280.7,10.0424411441
280.8,4.1023816131
280.9,4.9997348304
281,5.1925536792
281.1,2.6228093498
281.2,20.5894573239
281.3,8.8634317263
281.4,4.582838895
281.5,13.1405872008
281.6,14.1758756716
281.8,13.2902218789
281.9,22.3835778817
282,22.4957183314
282.1,1.7783473141
282.2,1.7717210402
282.3,17.8841570485
282.6,17.8962855546
282.7,20.1578130306
282.8,24.5438996957
282.9,7.2469578572
283,5.6503700609
283.1,4.6043517495
283.2,13.1576311608
283.3,18.0900376085
283.4,5.1246280516
283.5,17.7238696474
283.6,0.644641468
283.8,7.234270227
284,5.0524292898
284.1,5.0379481832
284.3,5.0070151377
284.4,4.9637966023
284.5,4.9485958331
284.9,5.0893223299
285,4.9887164485
285.5,19.9649209592
285.6,4.9954342806
285.8,5.0158764809
285.9,4.8810619528
286.1,5.0917401896
286.3,5.0156971986
286.6,4.9367072448
286.7,6.7755452587
286.8,20.3098931716
286.9,13.969443622
287,27.4163311262
287.2,11.6625280392
287.3,4.8143652419
287.4,4.8119382333
287.5,21.2956181712
287.6,18.1572248182
287.7,18.3236945894
287.9,21.351914129
288,6.5577718206
288.1,2.3713345184
288.2,16.3266956748
288.3,10.4274452761
288.4,17.5852245025
288.5,21.6997009294
288.6,22.3078234733
288.7,9.5936204695
288.8,4.6996456761
289.1,28.5556166897
289.3,20.1703873574
289.4,7.564852059
289.5,19.8957270639
289.6,15.8114269472
289.7,19.9723049601
289.8,12.3213059743
289.9,7.6871718113
290.1,15.0609448195
290.2,22.7517683614
290.3,15.3705610879
290.4,12.8582464113
290.5,18.8758566407
290.6,26.5049451778
290.7,15.6979251955
290.8,19.4536794123
290.9,1.8259059846
291,1.9984596493
291.1,4.1477701149
291.2,20.5361906837
291.4,21.1371923128
291.5,7.036460926
291.6,6.6413482485
291.7,12.2885528766
291.8,2.5255329783
291.9,20.1861818431
292,10.8218093167
292.1,22.0324660342
292.2,3.8003714471
292.3,8.5226538858
292.4,15.2101479947
292.5,18.9694804094
292.6,26.2805957412
292.8,22.1335334962
292.9,25.2544322531
293.1,22.4833078879
293.2,19.4640666957
293.4,21.4356146192
293.5,4.5333070836
293.6,21.5545734241
293.8,21.5119804679
294.1,21.4808339206
294.3,21.5975110995
294.4,21.5248438881
294.5,21.5550926131
294.6,21.5776282252
294.8,21.5740989911
295,21.5246461514
295.2,21.5176775559
295.4,21.4481438703
295.5,2.1672208517
295.6,20.4165742013
295.7,8.6960187487
295.8,19.9481245143
296,2.3528961902
296.1,2.2304522713
296.3,22.8847088727
296.4,8.8808667696
296.5,1.6697417106
296.6,14.8167989717
296.7,12.8308515852
296.8,5.1891166288
296.9,16.4550213172
297.1,7.3263543512
297.3,8.5835350584
297.5,10.1341980584
297.6,14.642224618
297.7,22.3205581517
297.8,13.4287398032
297.9,12.7333938925
298,23.0525690791
298.1,2.6165390393
298.2,19.577459757
298.3,29.0702086191
298.4,19.7236886011
298.5,9.2401646945
298.6,5.6482851489
298.7,10.5076171217
298.8,8.320283247
298.9,1.4722377117
299.1,4.7576254155
299.2,1.5022873952
299.3,1.4633647131
299.6,1.3392233961
